analogy,name,in_support_of,submitter
"Just like a shovel may incorporate copyrightable designs, the works at issue here—the API and SSO—may indeed be copyrightable as a whole. But, like a shovel, software is primarily functional in nature.",20190225155816527_18-956 Amici Brief Python,Petitioner,"Python Software Foundation and Tidelift, Inc."
"In Star Athletica, there was concern that the failure to separate copyrightable and functional elements would lead to the 'copyrighting of shovels.'",20190225155816527_18-956 Amici Brief Python,Petitioner,"Python Software Foundation and Tidelift, Inc."
Applying concepts designed for literary works to computer software can be like trying 'to fit the proverbial square peg in a round hole.',20190225161519498_18-956 tsac American Antitrust Institute,Petitioner,American Antitrust Institute
Difficulties of applying copyright law to computer programs are likened to 'assembling a jigsaw puzzle whose pieces do not quite fit.',20190225161519498_18-956 tsac American Antitrust Institute,Petitioner,American Antitrust Institute
"The persistence of the QWERTY keyboard layout is used as an analogy for lock-in due to user investment, even when better alternatives exist.",20190225161519498_18-956 tsac American Antitrust Institute,Petitioner,American Antitrust Institute
"APIs are compared to electronic billing or shipping forms on e-commerce websites, where the structure, sequence, and organization (SSO) of information is standardized for efficiency and user familiarity. The analogy is used to argue that just as copyright protection for such forms would be unreasonable and stifle innovation, so too would copyright protection for API SSOs.",20190225175320465_18-956 tsac Mozilla Corp et al,Petitioner,"Mozilla Corp., Mapbox, A Medium Corp., Patreon, Etsy, Inc., and Wikimedia Foundation"
"The document also compares the requirement for new e-commerce sites to reinvent shipping and payment forms to the burden placed on software developers if they had to create new API SSOs for every platform, illustrating the inefficiency and barriers to entry this would create.",20190225175320465_18-956 tsac Mozilla Corp et al,Petitioner,"Mozilla Corp., Mapbox, A Medium Corp., Patreon, Etsy, Inc., and Wikimedia Foundation"
APIs were created precisely to alleviate the need for individual businesses to write different code every time they wanted to connect to a new service.,20190227185608331_18-956 - Google v Oracle - Amicus Engine Advocacy - Brief,Petitioner,Engine Advocacy
A firm without APIs that allow software programs to interact with each other is like the internet without the World Wide Web.,20190227185608331_18-956 - Google v Oracle - Amicus Engine Advocacy - Brief,Petitioner,Engine Advocacy
Having more names for the same software functions does not enrich society. Quite the opposite—that is akin to having 'every typewriter maker scramble the [QWERTY] keyboard.',20190225161900311_Brief of Microsoft Corporation as Amicus Curiae,Petitioner,Microsoft Corporation
"just as a toaster needs an interoperable plug and electrical outlet combination to allow it to connect to a standard power source (a point other amici have made). Convergence of both plugs and outlets on standard methods of connecting appliances to power benefits progress, competition, and consumer interests. Limits on technologies facilitating interoperability, if at all, are the province of patent, not copyright, law.",20190308153832451_Brief of Amicus Curiae Red Hat in 18-956,Petitioner,"Red Hat, Inc."
"The declaring code is like the chapter headings and topic sentences of an elaborate literary work: It introduces, names, and describes each prewritten program to help programmers learn and remember what those prewritten programs do.",20190327160337558_190311 for E-Filing,Respondent,"Oracle America, Inc."
"Contrary to Google’s keyboard analogy (at 5), the declaring code is far more expressive than the letters on a keyboard. First, each key on a keyboard is a single character, while declaring code can be 'extremely long' and expressive. Second, while 'ASDFG' expresses nothing to anyone, Oracle’s declaring code communicates to programmers what each program does, how it relates to the other programs, and what you need to do to make it work. Third, in terms of complexity, there is no comparison between the relationship among 26 keys and the Java platform’s intricate organization among 30,000 programs.",20190327160337558_190311 for E-Filing,Respondent,"Oracle America, Inc."
"For example, 'a book on how to build a bicycle may be eligible for copyright protection' that covers only the particular way in which the book is written; 'that copyright does not include any exclusive right to practice the bicycle-building method that the book explains.'",20190327160337558_190311 for E-Filing,Respondent,"Oracle America, Inc."
Requiring car manufacturers to invent a substitute for the steering wheel,20190410092802431_Google Cert. Reply,Petitioner,Google LLC
Forcing manufacturers to make a new plug and electrical outlet combination to allow their devices to connect to a standard power source,20190410092802431_Google Cert. Reply,Petitioner,Google LLC
"For example, a copyright for a book that explains how to perform a new surgical method would bar others from copying the book without authorization, but not from performing the surgical method.",20190927165110897_18-956 Google,Respondent,United States (Solicitor General Noel J. Francisco)
"Similarly, the doctrine of scènes-à-faire teaches that elements of a work that are 'standard, stock, or common to a topic,' like cowboys and shootouts in stories of the American West, are not copyrightable.",20190927165110897_18-956 Google,Respondent,United States (Solicitor General Noel J. Francisco)
Banning the reuse of interfaces is equivalent to mandating that car companies 'invent a substitute for the steering wheel' or that manufacturers replace the 'plug and electrical outlet combination'.,20191016132441269_Google Supplemental Brief,Petitioner,Google LLC
"winner-takes-all or winner-takes-most dynamic in copyright markets (e.g., music, computer programs, movies, books) to illustrate how most incentives go to a few superstars rather than increasing overall creative output",20200108144712315_39295 pdf Lunney,Petitioner,Professor Glynn Lunney
"copyright as a two-step incentives story: more copyright leads to more revenue, which leads to more creative works, which the brief argues is a simple, intuitive, but likely false analogy",20200108144712315_39295 pdf Lunney,Petitioner,Professor Glynn Lunney
copyright as not being an economic perpetual motion machine: ever more incentives will not lead to ever more creative output,20200108144712315_39295 pdf Lunney,Petitioner,Professor Glynn Lunney
"A car manufacturer securing an ignition switch with a metal key with an original cut pattern: while the pattern might be protected as a sculpture, copyright cannot prevent others from using the same pattern to start the car",20200110145900255_39088 pdf Menell,Petitioner,"Professors Peter S. Menell, David Nimmer, and Shyamkrishna Balganesh"
A car manufacturer securing a digital ignition switch via entry of a haiku: copyright does not bar use of the haiku text to start the car,20200110145900255_39088 pdf Menell,Petitioner,"Professors Peter S. Menell, David Nimmer, and Shyamkrishna Balganesh"
Cash register gears and levers as functional features not protected by copyright,20200110145900255_39088 pdf Menell,Petitioner,"Professors Peter S. Menell, David Nimmer, and Shyamkrishna Balganesh"
Java API packages as gears and levers of a virtual machine; declarations or function calls as keys to unlock computing methods,20200110145900255_39088 pdf Menell,Petitioner,"Professors Peter S. Menell, David Nimmer, and Shyamkrishna Balganesh"
"Java programming language as musical language, each API implementation as a record album featuring songs (methods), and API declarations as song titles used to invoke methods",20200110145900255_39088 pdf Menell,Petitioner,"Professors Peter S. Menell, David Nimmer, and Shyamkrishna Balganesh"
Configuration of tools in a Swiss Army knife: combinations of methods in a machine are no more copyrightable than this configuration.,20200110145900255_39088 pdf Menell,Petitioner,"Professors Peter S. Menell, David Nimmer, and Shyamkrishna Balganesh"
"The Federal Circuit’s rationale is compared to a law review article quoting another for support, suggesting that both would infringe because they have the same 'intrinsic purpose.'",20200110184424898_39238 pdf Tushnet br,Petitioner,Copyright Scholars
The benefit of standardization is compared to the Federal Rules of Civil Procedure standardizing key elements of federal practice despite local rules.,20200110184424898_39238 pdf Tushnet br,Petitioner,Copyright Scholars
"The copying of functional elements is compared to making a spare key, where the elegance or beauty of the key’s shape is irrelevant—all that matters is that the shape fits the lock.",20200110184424898_39238 pdf Tushnet br,Petitioner,Copyright Scholars
"The pagination of a print volume of caselaw is used as an analogy for the structure, sequence, and organization (SSO) of API declarations, suggesting that SSO naturally follows from having cases in some order and does not add additional expression.",20200110184424898_39238 pdf Tushnet br,Petitioner,Copyright Scholars
"Each package is like a filing cabinet; each class like a drawer in that cabinet; and each method like a folder in that drawer. The declarations are labels identifying each cabinet and drawer, as well as the folder containing the method.",20200106172508533_18-956 ts,Petitioner,Google LLC
"The two create an interface as an exclusively matched set: a key and an unpickable lock. If the declaration is changed, the call will fail.",20200106172508533_18-956 ts,Petitioner,Google LLC
The declarations are analogous to a collection of filing cabinets.,20200106172508533_18-956 ts,Petitioner,Google LLC
"A universal remote that copies the command structure of many devices to work with them, which would infringe copyrights if interfaces were copyrightable",20200110150055192_2020.01.10 CDT et al Amicus Brief iso Petitioner,Petitioner,"Center for Democracy and Technology, Institute for Intellectual Property & Social Justice, National Consumers League, and National Federation of the Blind"
"The investment of time in learning software interfaces, which would become a barrier to switching if interfaces were copyrightable",20200110150055192_2020.01.10 CDT et al Amicus Brief iso Petitioner,Petitioner,"Center for Democracy and Technology, Institute for Intellectual Property & Social Justice, National Consumers League, and National Federation of the Blind"
"The printer cartridge example, where copyright in interfaces could be used to monopolize the market for replacement parts",20200110150055192_2020.01.10 CDT et al Amicus Brief iso Petitioner,Petitioner,"Center for Democracy and Technology, Institute for Intellectual Property & Social Justice, National Consumers League, and National Federation of the Blind"
"Roman sculptors copying Greek statues, sometimes as a 'pastiche of more than one Greek original' or as an exact replica",20200113103455238_18-956 Amicus Brief The Robert Rauschenberg Foundation et al.,N/A,"The Robert Rauschenberg Foundation and The Andy Warhol Foundation for the Visual Arts, Inc."
Gilbert Stuart's portrait of George Washington borrowing from a 17th-century French portrait,20200113103455238_18-956 Amicus Brief The Robert Rauschenberg Foundation et al.,N/A,"The Robert Rauschenberg Foundation and The Andy Warhol Foundation for the Visual Arts, Inc."
Picasso reinterpreting Las Meninas by Velázquez,20200113103455238_18-956 Amicus Brief The Robert Rauschenberg Foundation et al.,N/A,"The Robert Rauschenberg Foundation and The Andy Warhol Foundation for the Visual Arts, Inc."
Morse's painting of the Louvre including miniaturized depictions of other artists’ paintings,20200113103455238_18-956 Amicus Brief The Robert Rauschenberg Foundation et al.,N/A,"The Robert Rauschenberg Foundation and The Andy Warhol Foundation for the Visual Arts, Inc."
The analogy of a musical interface (like a piano layout) compared to a software interface (like a QWERTY keyboard layout),20200113103455238_18-956 Amicus Brief The Robert Rauschenberg Foundation et al.,N/A,"The Robert Rauschenberg Foundation and The Andy Warhol Foundation for the Visual Arts, Inc."
"The Supreme Court building’s adornments being 'virtually identical' to prior creations, such as candelabra resembling those in the Vatican Museum and aspects of the façade resembling the Pantheon model in the Metropolitan Museum of Art",20200113103455238_18-956 Amicus Brief The Robert Rauschenberg Foundation et al.,N/A,"The Robert Rauschenberg Foundation and The Andy Warhol Foundation for the Visual Arts, Inc."
It is no exaggeration to call cars 'computers on wheels.',20200113115034562_18-956 Amici Brief Auto Care Association,Petitioner,"Auto Care Association and Static Control Components, Inc."
"Differences between the names 'math.max,' 'math.maximum,' and 'Arith.larger' are so minute as to lack authorship and originality, and can have no legal significance for purposes of the merger doctrine. Cf. William Shakespeare, Romeo and Juliet, act 2, sc. 2, at 45-46.",20200113115034562_18-956 Amici Brief Auto Care Association,Petitioner,"Auto Care Association and Static Control Components, Inc."
"To help illuminate these concerns, we encourage the Court to understand software interfaces (which are a type of API) as similar to the electronic checkout forms you see when shopping online. When you buy a product on an e-commerce website, you are typically asked to enter information related to method of payment and shipping. While every e-commerce site has a slightly different style, payment screens almost without exception ask you to fill out a nearly identical structured form: name, address, credit card or bank information, billing address, shipping address, etc. ... Now imagine that the copying of this SSO from one site to another is deemed to constitute copyright infringement. This would force every website with a payment page to either pay licensing fees to the original inventor of the standard structure or invent a unique SSO for payment and shipping forms, requiring users to enter information in repeatedly unfamiliar formats with unintuitive naming conventions. ... Such costs could also deter customers from trying new platforms and reinforce the market power of dominant vendors, not because those vendors have better products or prices, but because they happen to have been the first to publish the SSO of the dominant payment and shipping forms.",20200113120624750_18-956 Amici Curiae,Petitioner,"Small, Medium, and Open Source Technology Organizations (including Mozilla Corporation, Medium Corporation, Cloudera, Creative Commons, Shopify Inc., Etsy, Inc., Reddit, Open Source Initiative, Mapbox, Patreon, Wikimedia Foundation, Software Freedom Conse"
"The above concerns apply equally to SSOs for API packages. Much as developers and users of e-commerce and other payments websites have come to expect and depend on standardized SSOs for checkout forms, both developers of operating systems and developers of applications for those operating systems expect and depend on standardized SSOs for API packages when programming.",20200113120624750_18-956 Amici Curiae,Petitioner,"Small, Medium, and Open Source Technology Organizations (including Mozilla Corporation, Medium Corporation, Cloudera, Creative Commons, Shopify Inc., Etsy, Inc., Reddit, Open Source Initiative, Mapbox, Patreon, Wikimedia Foundation, Software Freedom Conse"
"Google’s use of the SE declarations here is analogous to use of intermediate copies, such as random access memory (“RAM”) and other similar copies, that numerous courts have found to be fair use because they facilitate new creative works. A second work can, in context, be transformative even when it uses the copyrighted work without changing the copied component at all.",20200113122658753_Rimini Street Amicus Brief TO FILE,Petitioner,"Rimini Street, Inc."
Oracle has been referred to as a law firm with a software business attached.,20200113122658753_Rimini Street Amicus Brief TO FILE,Petitioner,"Rimini Street, Inc."
"The canonical example from Baker v. Selden: an author may copyright a book explaining his accounting system, but not the diagrams and forms illustrating the system and showing how it is to be used and carried out in practice, which are to be considered as necessary incidents to the art, and given therewith to the public.",20200113122658753_Rimini Street Amicus Brief TO FILE,Petitioner,"Rimini Street, Inc."
"Analogies can be helpful by bringing familiar context to an alien field, but they tend to oversimplify and to bring with them implicit assumptions based on the model chosen.",20200113111550315_18-956 Amicus Brief of Developers Alliance,Petitioner,Developers Alliance
"The document discusses the analogy of API libraries to real-world libraries, noting that real-world libraries organize information to simplify searching, and API libraries arose similarly to help developers find and use APIs.",20200113111550315_18-956 Amicus Brief of Developers Alliance,Petitioner,Developers Alliance
"The document also references the analogy of writing software to writing a novel, emphasizing that the lexicon, purpose, and industry norms are very different between the two.",20200113111550315_18-956 Amicus Brief of Developers Alliance,Petitioner,Developers Alliance
The court analogized the disputed menu commands to buttons used to control a video cassette recorder (VCR).,20200113140736454_18-956 tsac Electronic Frontier Foundation,Petitioner,Electronic Frontier Foundation
A more modern analogy could be the utilitarian features of a smart phone.,20200113140736454_18-956 tsac Electronic Frontier Foundation,Petitioner,Electronic Frontier Foundation
"The Java APIs are contrasted with Harry Potter chapter titles and topic sentences, noting that the latter do not operate a machine, whereas the Java API declarations define the gears and levers of a virtual machine.",20200113140736454_18-956 tsac Electronic Frontier Foundation,Petitioner,Electronic Frontier Foundation
The analogy of a typist locked into the QWERTY keyboard is used to illustrate user lock-in due to network effects.,20200113140736454_18-956 tsac Electronic Frontier Foundation,Petitioner,Electronic Frontier Foundation
having every typewriter maker scramble the [QWERTY] keyboard,20200113143602407_Microsoft - Google v Oracle Amicus Brief_Efile,Petitioner,Microsoft Corporation
"Baker v. Selden analogy: The distinction between copyrightable expression and uncopyrightable systems/methods, illustrated by the example of bookkeeping forms and systems.",20200113141633955_39077 pdf Crump br,Petitioner,72 Intellectual Property Scholars
QWERTY keyboard analogy: Judge Boudin's concurrence in Lotus v. Borland compares user lock-in to a software interface to a typist being captive to a monopoly on the QWERTY keyboard.,20200113141633955_39077 pdf Crump br,Petitioner,72 Intellectual Property Scholars
Chess analogy: The Morrissey v. Procter & Gamble court likens copyrighting limited forms to a game of chess in which the public can be checkmated.,20200113141633955_39077 pdf Crump br,Petitioner,72 Intellectual Property Scholars
"Just as users must know how to navigate to their saved documents, programmers using a software interface must specify the path for each declaration they use, like sort, so that the computer knows where to find the corresponding implementation. Telling a person to click on “My Documents,” then on a folder called “Receipts,” and finally on a file called “Sofa” to find how much their sofa cost is just like a program navigating through the Java API to a package called util and opening a class called Arrays to find the implementation for the sort method.",20200113145027664_18-956 Google v Oracle Computer Scientists Merits Amicus FOR FILING,Petitioner,83 Computer Scientists
"Treating software interfaces as copyrightable would be like requiring car manufacturers to invent a substitute for the steering wheel. Startups would not risk manufacturing such a car, and even if they did, consumers likely would not purchase it.",20200113145027664_18-956 Google v Oracle Computer Scientists Merits Amicus FOR FILING,Petitioner,83 Computer Scientists
"The document references Chief Justice Roberts’ observation in eBay that “a page of history is worth a volume of logic,” using this as an analogy to emphasize the importance of historical context over abstract reasoning in intellectual property disputes.",20200113145814133_18-956tsacTheComputer_CommunicationsIndustryAssociation,Petitioner,The Computer & Communications Industry Association and Internet Association
"The document also uses the analogy of 'walled gardens' to describe the closed, non-interoperable computing environments of the 1960s and 1970s, which were replaced by open, interoperable networks due to changes in copyright law.",20200113145814133_18-956tsacTheComputer_CommunicationsIndustryAssociation,Petitioner,The Computer & Communications Industry Association and Internet Association
"means by which a person operates something, whether it be a car, a food processor, or a computer",20200113155410391_No. 18-956 ac AIPLA,N/A,American Intellectual Property Law Association
instructions of the rankest obviousness and simplicity such as 'apply hook to wall',20200113155410391_No. 18-956 ac AIPLA,N/A,American Intellectual Property Law Association
"Google has correctly analogized the names of Java packages and methods to labels on a filing cabinet, its drawers, and the folders it contains. The labels are also a system or process for locating methods in their respective folders. If they are given copyright protection, they give control over the process for locating folders, not just the names of the folders.",20200113160742904_18-956 - Google v. Oracle - Engine Amicus,Petitioner,Engine Advocacy
"The designer of a new car would use the same order of gears on the car’s gearshift—Park, Reverse, Neutral, Drive, and Low (commonly referred to as “PRNDL”)—to illustrate why API declarations must be written identically for accessibility and interoperability.",20200113160742904_18-956 - Google v. Oracle - Engine Amicus,Petitioner,Engine Advocacy
The declarations copied by Google are analogous to words and short phrases.,20200113131602588_18_956_Google LLC v Oracle America Inc._Amicus Brief for Empirical Legal Researchers,Petitioner,Empirical Legal Researchers
"The brief presents an analogy between computer languages and the text of Supreme Court opinions, arguing that restricting the use of common programming declarations is like restricting the use of common words and phrases in judicial opinions.",20200113131602588_18_956_Google LLC v Oracle America Inc._Amicus Brief for Empirical Legal Researchers,Petitioner,Empirical Legal Researchers
"The brief illustrates the impact of such restrictions by showing what would happen if Supreme Court Justices were foreclosed from using language from prior opinions, demonstrating the hardships software developers would face if similar restrictions were applied to programming.",20200113131602588_18_956_Google LLC v Oracle America Inc._Amicus Brief for Empirical Legal Researchers,Petitioner,Empirical Legal Researchers
Applying concepts designed for traditional literary works to computer software can be like trying 'to fit the proverbial square peg in a round hole.',20200113161453123_AAI TSAC Amicus No 18-956,Petitioner,American Antitrust Institute
The difficulties of applying copyright law to computer programs are likened to 'assembling a jigsaw puzzle whose pieces do not quite fit.',20200113161453123_AAI TSAC Amicus No 18-956,Petitioner,American Antitrust Institute
"The QWERTY keyboard analogy: 'Better typewriter keyboard layouts may exist, but the familiar QWERTY keyboard dominates the market because that is what everyone has learned to use.'",20200113161453123_AAI TSAC Amicus No 18-956,Petitioner,American Antitrust Institute
"Metcalfe’s Law: 'the proportional value to a network of a user’s investment in joining the network is the square of the number of users who do so, such that a tenfold increase in the size of the network leads to a hundredfold increase in its value.'",20200113161453123_AAI TSAC Amicus No 18-956,Petitioner,American Antitrust Institute
"The persistence of the QWERTY keyboard layout is used to illustrate how collective switching costs and network effects can entrench incumbents, even when superior technology exists.",20200113161453123_AAI TSAC Amicus No 18-956,Petitioner,American Antitrust Institute
Naval flag signaling as a command language reimplemented over time,20200113155314297_brief-gvo-merits,Petitioner,"R Street Institute, Public Knowledge, and the Niskanen Center"
The language of flowers (floriography) as a communicative system with frequent reimplementation of vocabularies,20200113155314297_brief-gvo-merits,Petitioner,"R Street Institute, Public Knowledge, and the Niskanen Center"
Telegraphic codes as command languages reimplemented by government and private actors,20200113155314297_brief-gvo-merits,Petitioner,"R Street Institute, Public Knowledge, and the Niskanen Center"
Hospital color codes as command languages reimplemented for safety and standardization,20200113155314297_brief-gvo-merits,Petitioner,"R Street Institute, Public Knowledge, and the Niskanen Center"
Computer hardware drivers compared to a clerk writing in a judge's notebook versus using a formal memorandum (to illustrate the value of standardized interfaces),20200113155314297_brief-gvo-merits,Petitioner,"R Street Institute, Public Knowledge, and the Niskanen Center"
"The brief uses the analogy from Star Athletica, L.L.C. v. Varsity Brands, Inc., comparing the expressive elements of a mixed work (like software) to the decorative elements on a cheerleading uniform, which can be conceptually separated from the functional aspects. It also references Baker v. Selden, where the forms used to implement an accounting system are likened to the functional elements of software, emphasizing that copyright does not extend to the forms necessary to implement a system or method.",20200113162441630_18-956 Oracle v Google - Amicus - Final Python Software,Petitioner,"Python Software Foundation, Tidelift, Open UK, and Protocol Labs"
"The brief also references the merger doctrine, explaining that when there are only a limited number of ways to express an idea, the idea and expression 'merge' and cannot be restricted by copyright, similar to how functional elements in software cannot be separated from their expression.",20200113162441630_18-956 Oracle v Google - Amicus - Final Python Software,Petitioner,"Python Software Foundation, Tidelift, Open UK, and Protocol Labs"
"Electrical plugs and outlets, bicycle pedals, automobile tires, and printer cartridges are interoperable among products and devices; if they were not, consumers would be significantly inconvenienced and competition would be greatly hindered.",20200113164110554_18-956tsacRLC,Petitioner,"Retail Litigation Center, Inc."
"replacing one leg of a chair with a shorter one, causing a need to shorten all the other legs to make the chair stable and balanced again",20200113171350826_2020 01 13 Final brief for filing -- Software and System Developers and Engineers,Petitioner,Software and System Developers and Engineers for United States Government Agencies
"relying on a declaration to identify a component for interoperation is like relying on a book title to refer to a book, enabling someone to identify the book to locate it and read it",20200113171350826_2020 01 13 Final brief for filing -- Software and System Developers and Engineers,Petitioner,Software and System Developers and Engineers for United States Government Agencies
"Declaring code is like topic sentences and chapter and section headings, while implementing code serves as the body of paragraphs.",20200212180251262_200208a Resp Brief for efiling,Respondent,"Oracle America, Inc."
"Like an author crafting a treatise with 30,000 paragraphs, Java SE’s authors had “unlimited options” as to what to include and how to describe and organize it all.",20200212180251262_200208a Resp Brief for efiling,Respondent,"Oracle America, Inc."
"A computer would run fine if the authors had dumped 30,000 programs in one class, but that would not appeal to its audience any more than a treatise with 30,000 random and unconnected paragraphs.",20200212180251262_200208a Resp Brief for efiling,Respondent,"Oracle America, Inc."
A director could not set his musical to leitmotifs from the iconic Star Wars score because the pit orchestra already knows them.,20200212180251262_200208a Resp Brief for efiling,Respondent,"Oracle America, Inc."
"By Google’s logic, a plagiarist could define J.K. Rowling’s idea as “a story about Harry Potter, Ron Weasley, and Hermione Granger who attend Hogwarts” and steal the characters and their back stories. Or she could market detailed knock-offs of bestsellers by declaring that she “had no other choice” but to reproduce verbatim the 11,300 most memorable sentences or scenes because they were “necessary” to allow fans to use their existing knowledge.",20200212180251262_200208a Resp Brief for efiling,Respondent,"Oracle America, Inc."
"A plot’s creativity does not preclude the eventual dialogue from being creative, and the dialogue does not retroactively strip the plot of creativity.",20200212180251262_200208a Resp Brief for efiling,Respondent,"Oracle America, Inc."
"If the idea embodied in a work is circularly defined as its particular expression, then merger would always apply.",20200212180251262_200208a Resp Brief for efiling,Respondent,"Oracle America, Inc."
"This form of commons production—in which voluntarily ceding exclusive ownership accelerates innovation and leads to superior software—has transformed the software industry as its proponents foresaw, and has led to other powerful and important experiments in “free culture” licensing such as Creative Commons.",20200117133403165_SFLC-Amicus_Google-Oracle_18-956,Petitioner,Software Freedom Law Center
The rule in Lotus thus avoided the creation of what scholars have come to call “anticommons” in the domain of computer software.,20200117133403165_SFLC-Amicus_Google-Oracle_18-956,Petitioner,Software Freedom Law Center
"Google’s repeated insistence that “[o]nly one precisely written set of declarations will perform the function of responding to the corresponding calls known to the developer,” is akin to arguing that Google could copy another employer’s copyrighted training manual because Google employees are already familiar with the language in which it is written. But the inconvenience of not copying does not excuse copying.",20200214100229948_Brief,Respondent,American Conservative Union Foundation
"Oracle seeks not to protect the arrangement of columns and headings, as in Baker, but by analogy the book itself. As the 72 Scholars concede, Baker recognized 'a clear distinction between the book as such, and the useful art which it intended to illustrate.'",20200214100229948_Brief,Respondent,American Conservative Union Foundation
"By analogy, many may wish to use the Hogwarts world created by J.K. Rowling or the Middle-Earth world created by J.R.R. Tolkien, but both are creative expressions of their authors and, thus, are protectable by copyright. Of course, neither author’s copyright protects the idea of having a world of magic, so future authors can always express their own versions. Similarly in the case at bar, Oracle was free to express its own “world” of APIs. If Google wants one too, it is free to create one. Google should not be free, however, to appropriate what Oracle had already expressed.",20200213132135651_18-956 USSC Amicus Brief,Respondent,Interdisciplinary Research Team on Programmer Creativity
"Determining which of the two bridges is the more “efficient” one makes no real sense. Does that analysis focus on cost? The number of cars that can be carried? The size of the largest truck that can safely cross? The bridge’s attractiveness? Clearly, “efficiency” is not a single point.",20200213132135651_18-956 USSC Amicus Brief,Respondent,Interdisciplinary Research Team on Programmer Creativity
"The document uses the analogy of 'forced sharing' in the context of copyright and antitrust law, comparing Google's request for expanded fair use to demands for sharing infrastructure in antitrust cases (e.g., Trinko, where sharing telephone lines was at issue). It also uses the analogy of 'heads you lose, tails I win' to describe the unfairness of allowing competitors to copy successful code for free while the original creator bears all the risk. Additionally, the document compares the disorganized state of open-source software licensing to 'the campers at Woodstock' to illustrate the complexity and lack of order in collaborative software development.",20200218094549234_18-956bsacInternetAccountabilityProject,Respondent,Internet Accountability Project
Google’s claim to be 'promoting software innovation' is just a code word for promoting Google’s interest in extracting higher profit margins out of the pockets of creators.,20200218155210566_18-956 bsac Helienne Lindvall et al--PDFA,Respondent,"Helienne Lindvall, David Lowery, Blake Morgan and the Songwriters Guild of America"
'Facile use of the scissors.' (Folsom v. Marsh),20200218155210566_18-956 bsac Helienne Lindvall et al--PDFA,Respondent,"Helienne Lindvall, David Lowery, Blake Morgan and the Songwriters Guild of America"
"'What’s good for General Bullmoose is good for the USA.' (Johnny Mercer and Gene De Paul, Li’l Abner (1956))",20200218155210566_18-956 bsac Helienne Lindvall et al--PDFA,Respondent,"Helienne Lindvall, David Lowery, Blake Morgan and the Songwriters Guild of America"
"The document draws an analogy between the system of notation used in Java software interfaces and the system of arbitrary signs and key used in 19th-century maps by William Perris, as discussed in Perris v. Hexamer. It states that just as the copyright in Perris' maps did not extend to the system of coloring and signs for identifying real property characteristics, copyright in software should not extend to software interfaces, which are formal systems of notation for denoting entities and their functions.",20200113165654112_18-956 tsac International Business Machines Corp and Red Hat Inc,Petitioner,"International Business Machines Corp. and Red Hat, Inc."
